,Brand,Model,kg CO2e,kg CO2e w/o use,years_use,Source,pdf_name
0,Apple,iPhone 14 Pro Max,73.0,60.59,3,iPhone 14 Pro Max Product Environmental Report (apple.com),iPhone_14_Pro_Max_PER_Sept2022.pdf
1,Apple,iPhone 14 Pro,65.0,55.25,3,iPhone 14 Pro Product Environmental Report (apple.com),iPhone_14_Pro_PER_Sept2022.pdf
2,Apple,iPhone 14 Plus,68.0,55.76,3,iPhone 14 Plus Product Environmental Report (apple.com),iPhone_14_Plus_PER_Sept2022.pdf
3,Apple,iPhone 14,61.0,50.02,3,iPhone_14_PER_SEPT2022 (apple.com),iPhone_14_PER_Sept2022.pdf
4,Apple,iPhone 13,64.0,53.76,3,iPhone 13 Product Environmental Report (apple.com),iPhone_13_PER_Sept2021.pdf
5,Apple,iPhone 13 mini,61.0,53.68,3,iPhone 13 mini Product Environmental Report (apple.com),iPhone_13_mini_PER_Sept2021.pdf
6,Apple,iPhone 12,70.0,60.2,3,iPhone 12 Product Environmental Report (apple.com),iPhone_12_PER_Oct2020.pdf
7,Apple,iPhone SE (3rd generation),46.0,40.02,3,iPhone SE (3rd generation) Product Environmental Report (apple.com),iPhone_SE_PER_March2022.pdf
8,Google,Pixel 5a with 5G,60.0,48.6,3,Pixel 5a with 5G Product Environmental Report (gstatic.com),pixel-5a-with-5g-product-environmental-report.pdf
9,Google,Pixel 6 Pro,95.0,82.65,3,Pixel 6 Pro Product Environmental Report (gstatic.com),pixel-6-pro-product-environmental-report.pdf
10,Google,Pixel 6,85.0,73.1,3,Pixel 6 Product Environmental Report (gstatic.com),pixel-6-product-environmental-report.pdf
11,Google,Pixel 6a,65.0,55.25,3,Pixel 6a Product environmental report (gstatic.com),pixel-6a-product-enviromental-report.pdf
12,Google,Pixel 7 Pro,85.0,74.8,3,Pixel 7 Pro Product Environmental Report (gstatic.com),pixel-7-pro-product-environmental-report.pdf
13,Google,Pixel 7,70.0,61.6,3,Pixel 7 Product Environmental Report (gstatic.com),pixel-7-product-environmental-report.pdf
14,Google,Pixel 3a,45.0,36.45,3,Sustainability Print Report Pixel 3a 0624 (gstatic.com),pixel3a-productenvironmentreport.pdf
15,Google,Pixel 3a XL,50.0,39.0,3,Sustainability Print Report Pixel 3a XL (gstatic.com),pixel3axl-productenvironmentreport.pdf
16,Google,Pixel 4,75.0,67.5,3,https://www.gstatic.com/gumdrop/sustainability/pixel4-product-environmental-report.pdf,pixel4-product-environmental-report.pdf
17,Google,Pixel 4a (5G),65.0,53.95,3,Pixel 4a 5G Product Environmental Report (gstatic.com),pixel4a-5g-product-environmental-report.pdf
18,Google,Pixel 4a,45.0,35.55,3,Pixel 4a Product Environmental Report (gstatic.com),pixel4a-product-environment-report.pdf
19,Google,Pixel 4 XL,80.0,70.4,3,Pixel 4 XL Product Environmental Report (gstatic.com),pixel4xl-product-environmental-report.pdf
20,Samsung,Galaxy M53,22.0,12.98,3,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
21,Samsung,Galaxy M33,22.04,13.89,3,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
22,Samsung,Galaxy M23,21.52,13.55,3,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
23,Samsung,Galaxy S22 Ultra,41.48,20.33,3,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
24,Samsung,Galaxy S22+,35.48,16.68,3,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
25,Samsung,Galaxy S22,35.0,16.45,3,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
26,Samsung,Galaxy S21 FE,22.912,12.112,2,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
27,Samsung,Galaxy S20 FE,25.0,15.36,2,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
28,Samsung,Galaxy A12,20.5,13.18,2,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
29,Samsung,Galaxy Z Flip3,23.336,14.366,2,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
30,Samsung,Galaxy Z Fold3,32.3,20.1,2,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
31,Samsung,Galaxy Note20 Ultra,29.7,20.6,2,https://images.samsung.com/is/content/samsung/assets/latin_en/sustainability/environment/environment-data/2022_Life-Cycle_Assessment_for_HHP_220613.pdf,
32,Autre,Autre/Je ne sais pas,31.06,30.47,4,https://impactco2.fr/numerique/smartphone,
